_id,ltable_vin,rtable_vin,price_price_exm,price_price_anm,price_price_lev_dist,price_price_lev_sim,maker_maker_lev_dist,maker_maker_lev_sim,maker_maker_jar,maker_maker_jwn,maker_maker_exm,maker_maker_jac_qgm_3_qgm_3,miles_miles_exm,miles_miles_anm,miles_miles_lev_dist,miles_miles_lev_sim,exterior_color_exterior_color_jac_qgm_3_qgm_3,exterior_color_exterior_color_cos_dlm_dc0_dlm_dc0,exterior_color_exterior_color_jac_dlm_dc0_dlm_dc0,exterior_color_exterior_color_mel,exterior_color_exterior_color_lev_dist,exterior_color_exterior_color_lev_sim,exterior_color_exterior_color_nmw,exterior_color_exterior_color_sw,label,predicted,proba
39596,WBA3B3G5XFNR85359,WBA3N5C5XFK198454,0.0,0.9761258817145958,3.0,0.5714285714285714,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9535656097255295,4.0,0.4285714285714286,0.0,0.0,0.0,0.0,8.0,0.11111111111111116,-4.0,1.0,0,0,0.0
65139,WBAPK5C50BA662412,WBAPK5C50BA662412,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1,1,1.0
38968,2T2BK1BA3CC122887,2T2BK1BA3CC122887,0.5254237288135594,0.9881768947216071,1.4322033898305084,0.7953995157384989,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,1,1,1.0
11672,WA1LFAFP7FA056486,WA1CFAFP9FA030486,0.5254237288135594,0.9881768947216071,1.4322033898305084,0.7953995157384989,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9664123650054494,5.0,0.2857142857142857,0.0,0.0,0.0,0.0,6.0,0.0,-2.0,1.0,0,0,0.0
1165,JTHBK1EG9C2512006,JTHBK1EG9C2512006,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4444444444444444,0.7071067811865475,0.5,0.9142857193946838,6.0,0.5714285714285714,2.0,8.0,1,1,1.0
66405,WAUYGAFC4CN089629,WAUYGAFC4CN089629,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.08333333333333333,0.5773502691896258,0.3333333333333333,0.5740740895271301,14.0,0.2222222222222222,-10.0,4.0,1,1,1.0
66217,WAUJ8GFF9J1002291,WA1BNAFY8J2017383,0.0,0.9706039675341287,4.0,0.4285714285714286,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.4,0.2777777777777778,0.33333333333333337,0.2,0.7357142567634583,9.0,0.5714285714285714,11.0,11.0,0,0,0.0
84606,WBAKC8C50BC434486,WBAFU7C51BC876136,0.0,0.9500825288851098,2.0,0.7142857142857143,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9652422957956238,4.0,0.4285714285714286,0.0,0.0,0.0,0.5017544031143188,17.0,0.10526315789473684,-12.0,2.0,0,0,0.0
81534,WAUGFAFC5FN033377,WAUGFAFC5FN033377,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5555555555555556,0.33333333333333337,0.2,0.9578947424888611,2.0,0.8947368421052632,17.0,17.0,1,1,1.0
54577,WAUBGAFL8EA114919,WAUBGAFL8EA114919,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5862068965517241,0.33333333333333337,0.2,0.961904764175415,2.0,0.9047619047619048,19.0,19.0,1,1,1.0
